site,revenue,percentile_75
1,0.00368255324199181,0.0121221602215814
1,0.00410721818995674,0.0121221602215814
1,0.00459274360994003,0.0121221602215814
2,0.00300753711633069,0.011902315459909774
2,0.00335994852342974,0.011902315459909774
2,0.00368721990433065,0.011902315459909774
3,0.0040513960017216,0.011816553597812921
3,0.00409505975884366,0.011816553597812921
3,0.00425406694324385,0.011816553597812921
4,0.00430809960576173,0.011932087072980251
4,0.00462145994745735,0.011932087072980251
4,0.00475913408188079,0.011932087072980251
